event_name,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
UFC Fight Night: Usman vs. Buckley,Brent McKeehan,Mansur Abdul-Malik,Cody Brundage,Mansur Abdul-Malik,3,F,Middleweight,M,Decision,Unanimous,3,0:36,http://ufcstats.com/fight-details/08c04f18b0f58d71
UFC Fight Night: Usman vs. Buckley,Blake Grice,Alonzo Menifield,Oumar Sy,Alonzo Menifield,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/ec2034b134ae71cd
UFC Fight Night: Usman vs. Buckley,Mike Beltran,Michael Chiesa,Court McGee,Michael Chiesa,3,F,Welterweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e861e9cc0118c670
UFC Fight Night: Usman vs. Buckley,Brent McKeehan,Malcolm Wellmaker,Kris Moutinho,Malcolm Wellmaker,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,2:37,http://ufcstats.com/fight-details/f6454f2e508626ec
UFC Fight Night: Usman vs. Buckley,Kevin MacDonald,Cody Durden,Jose Ochoa,Jose Ochoa,3,F,Flyweight,M,KO/TKO,Punch to Head At Distance,2,0:11,http://ufcstats.com/fight-details/b39b8ff0d7de211a
UFC Fight Night: Usman vs. Buckley,Blake Grice,Ricky Simon,Cameron Smotherman,Ricky Simon,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/59c4fdb3c0673066
UFC Fight Night: Usman vs. Buckley,Brent McKeehan,Phil Rowe,Ange Loosa,Phil Rowe,3,F,Welterweight,M,KO/TKO,Punches to Head In Clinch,3,4:03,http://ufcstats.com/fight-details/2ae7404681deb3b3
UFC Fight Night: Usman vs. Buckley,Nate Mann,Jamey-Lyn Horth,Vanessa Demopoulos,Jamey-Lyn Horth,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/ab325ea526824723
UFC 316: Dvalishvili vs. O'Malley 2,Jason Herzog,Merab Dvalishvili,Sean O'Malley,Merab Dvalishvili,5,T,Bantamweight,M,Submission,Guillotine Choke On Ground,3,4:42,http://ufcstats.com/fight-details/e61d83e4e1f9c4d7
UFC 316: Dvalishvili vs. O'Malley 2,Vitor Ribeiro,Julianna Pena,Kayla Harrison,Kayla Harrison,5,T,Women's Bantamweight,F,Submission,Kimura From Side Control,2,4:55,http://ufcstats.com/fight-details/81b84b34f0357fa5
UFC 316: Dvalishvili vs. O'Malley 2,Mike Beltran,Kelvin Gastelum,Joe Pyfer,Joe Pyfer,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e28e829800466aca
